user_skills,career,required_skills,is_good_match
"python, project management, leadership, creativity, problem solving",Project Manager,"leadership, project management, communication, teamwork",0
"debugging, machine learning, design, python, teaching, java",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"leadership, creativity, debugging, machine learning, python, design, data analysis",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"data analysis, problem solving, design, creativity, sql, debugging, javascript",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"writing, data analysis, teaching, leadership, javascript, testing",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"writing, machine learning, leadership, communication, debugging",Graphic Designer,"design, creativity, communication",0
"javascript, communication, java, sql",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"machine learning, communication, data analysis",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"python, javascript, teamwork, data analysis, testing, teaching",Software Engineer,"python, java, javascript, problem solving, teamwork",1
"writing, teamwork, javascript, creativity, java, communication",Graphic Designer,"design, creativity, communication",0
"teaching, java, problem solving, teamwork, cloud computing",Project Manager,"leadership, project management, communication, teamwork",0
"data analysis, problem solving, java, debugging",Graphic Designer,"design, creativity, communication",0
"project management, creativity, cloud computing, teamwork, sql",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"leadership, problem solving, design, data analysis, communication",Teacher,"communication, teaching, leadership, creativity, problem solving",1
"java, testing, debugging, python, teamwork, leadership",Graphic Designer,"design, creativity, communication",0
"testing, cloud computing, python, project management, machine learning, problem solving",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"testing, machine learning, python, problem solving, sql",Project Manager,"leadership, project management, communication, teamwork",0
"teaching, project management, machine learning",Graphic Designer,"design, creativity, communication",0
"project management, communication, machine learning, leadership, java, teamwork, python",Graphic Designer,"design, creativity, communication",0
"leadership, machine learning, java, communication",Project Manager,"leadership, project management, communication, teamwork",0
"creativity, debugging, cloud computing, communication, python, testing, java",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"javascript, creativity, leadership, project management",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"debugging, testing, data analysis, machine learning",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"leadership, project management, problem solving, java",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"debugging, sql, teaching, java",Graphic Designer,"design, creativity, communication",0
"writing, testing, java",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"teamwork, teaching, leadership, problem solving, writing, sql",Project Manager,"leadership, project management, communication, teamwork",0
"writing, creativity, teamwork, debugging, javascript",Project Manager,"leadership, project management, communication, teamwork",0
"sql, python, writing, cloud computing, project management, java",Graphic Designer,"design, creativity, communication",0
"cloud computing, python, machine learning, leadership, sql",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"design, creativity, sql, debugging, cloud computing, python, java",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"creativity, teaching, java",Graphic Designer,"design, creativity, communication",0
"data analysis, communication, creativity, teaching, machine learning",Project Manager,"leadership, project management, communication, teamwork",0
"python, data analysis, sql, creativity",Graphic Designer,"design, creativity, communication",0
"design, debugging, cloud computing, machine learning, teamwork, project management",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"cloud computing, project management, writing, python, testing, teaching",Project Manager,"leadership, project management, communication, teamwork",0
"debugging, sql, teaching, design, machine learning, testing, cloud computing",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"creativity, debugging, writing, cloud computing, teaching, python, testing",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"communication, sql, creativity, leadership, testing, cloud computing",Teacher,"communication, teaching, leadership, creativity, problem solving",1
"teamwork, data analysis, writing, creativity, communication, machine learning, problem solving",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"machine learning, sql, creativity",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"project management, javascript, testing",Project Manager,"leadership, project management, communication, teamwork",0
"cloud computing, leadership, project management",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"cloud computing, communication, python, data analysis, sql, testing, java",Graphic Designer,"design, creativity, communication",0
"design, sql, python, javascript",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"python, sql, machine learning, leadership",Project Manager,"leadership, project management, communication, teamwork",0
"machine learning, project management, java, cloud computing, teaching, teamwork, python",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"problem solving, cloud computing, creativity",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"communication, design, python, sql",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"java, writing, teamwork, cloud computing, machine learning",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"writing, debugging, javascript, leadership, teaching",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"creativity, debugging, problem solving, teaching, data analysis",Teacher,"communication, teaching, leadership, creativity, problem solving",1
"creativity, testing, communication, python",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"creativity, sql, project management, machine learning, python, testing",Graphic Designer,"design, creativity, communication",0
"cloud computing, project management, problem solving, data analysis, leadership, debugging",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"communication, data analysis, creativity, teaching, sql, debugging, python",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"creativity, cloud computing, teamwork, debugging, javascript, design, machine learning",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"design, javascript, creativity, teaching, cloud computing, machine learning",Graphic Designer,"design, creativity, communication",0
"testing, teaching, project management, machine learning, leadership",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"testing, debugging, communication",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"leadership, project management, teaching",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"project management, testing, machine learning, teamwork",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"teaching, teamwork, design, problem solving, communication, writing",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"writing, teamwork, creativity, data analysis, python",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"creativity, debugging, leadership, teaching, sql, testing",Project Manager,"leadership, project management, communication, teamwork",0
"project management, leadership, sql, writing, debugging, cloud computing, problem solving",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"machine learning, javascript, design, writing",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"machine learning, data analysis, testing",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"java, javascript, project management, sql, communication, cloud computing",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"javascript, data analysis, debugging",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"creativity, data analysis, cloud computing, debugging, teamwork, javascript",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"creativity, teaching, problem solving, data analysis, communication, leadership",Teacher,"communication, teaching, leadership, creativity, problem solving",1
"writing, cloud computing, creativity",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"teaching, debugging, javascript, design, machine learning, leadership, java",Project Manager,"leadership, project management, communication, teamwork",0
"problem solving, javascript, machine learning, cloud computing, communication, sql",Data Scientist,"python, machine learning, data analysis, sql, problem solving",1
"machine learning, teamwork, python, problem solving, cloud computing, data analysis, teaching",Graphic Designer,"design, creativity, communication",0
"teamwork, java, python, design, teaching, problem solving",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"leadership, sql, data analysis, java, python, writing, debugging",Graphic Designer,"design, creativity, communication",0
"writing, project management, machine learning",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"leadership, design, problem solving",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"communication, python, design, debugging",Project Manager,"leadership, project management, communication, teamwork",0
"leadership, javascript, problem solving, cloud computing, python, sql",Graphic Designer,"design, creativity, communication",0
"testing, cloud computing, problem solving, sql, machine learning, design",Data Scientist,"python, machine learning, data analysis, sql, problem solving",1
"leadership, machine learning, data analysis",Graphic Designer,"design, creativity, communication",0
"creativity, teaching, testing",Project Manager,"leadership, project management, communication, teamwork",0
"design, teaching, communication",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"python, writing, design, project management, sql, communication",Project Manager,"leadership, project management, communication, teamwork",0
"writing, cloud computing, javascript, python",Graphic Designer,"design, creativity, communication",0
"data analysis, design, project management, python, writing, javascript, testing",Project Manager,"leadership, project management, communication, teamwork",0
"java, cloud computing, sql, data analysis, problem solving",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"writing, leadership, communication",Graphic Designer,"design, creativity, communication",0
"design, leadership, project management, java",Graphic Designer,"design, creativity, communication",0
"testing, creativity, teaching, cloud computing, python, javascript, machine learning",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"testing, creativity, javascript, data analysis, communication",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"machine learning, teaching, javascript, teamwork",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"writing, design, machine learning, communication, cloud computing",Project Manager,"leadership, project management, communication, teamwork",0
"leadership, javascript, testing",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"teamwork, python, data analysis, java, creativity, leadership, machine learning",Software Engineer,"python, java, javascript, problem solving, teamwork",1
"creativity, cloud computing, java, project management",Graphic Designer,"design, creativity, communication",0
"writing, design, creativity",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"javascript, teaching, creativity, java, writing, sql",Project Manager,"leadership, project management, communication, teamwork",0
"sql, java, debugging, testing, communication, leadership, creativity",Graphic Designer,"design, creativity, communication",0
"teamwork, sql, testing, writing, creativity, cloud computing",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"leadership, teaching, design, debugging",Project Manager,"leadership, project management, communication, teamwork",0
"teamwork, creativity, python, communication, java, design, debugging",Project Manager,"leadership, project management, communication, teamwork",0
"java, teamwork, teaching, sql",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"leadership, writing, sql, problem solving, machine learning, cloud computing, teaching",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"python, communication, project management, teaching, sql, debugging",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"problem solving, machine learning, debugging, javascript, testing, leadership",Project Manager,"leadership, project management, communication, teamwork",0
"machine learning, design, leadership, javascript",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"problem solving, python, sql, creativity",Project Manager,"leadership, project management, communication, teamwork",0
"machine learning, creativity, design, problem solving, javascript, data analysis, project management",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"communication, java, teamwork, python, project management, teaching, cloud computing",Graphic Designer,"design, creativity, communication",0
"cloud computing, project management, teaching, design, communication",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"debugging, java, creativity, data analysis, teaching",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"python, project management, design",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"leadership, design, teamwork, javascript, machine learning, python, cloud computing",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"javascript, project management, teamwork, creativity",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"sql, problem solving, design, leadership",Graphic Designer,"design, creativity, communication",0
"leadership, project management, sql, python, javascript, problem solving, testing",Graphic Designer,"design, creativity, communication",0
"testing, project management, problem solving, machine learning",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"testing, leadership, machine learning, teamwork, cloud computing",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"communication, design, javascript, python",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"java, communication, problem solving, sql, python",Project Manager,"leadership, project management, communication, teamwork",0
"sql, design, leadership, cloud computing, communication, javascript, python",Graphic Designer,"design, creativity, communication",0
"javascript, project management, python, testing, machine learning",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"design, sql, leadership, cloud computing, java, teaching, javascript",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"teaching, project management, data analysis, design, javascript, debugging",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"python, leadership, cloud computing, writing, testing, sql",Project Manager,"leadership, project management, communication, teamwork",0
"testing, project management, teamwork",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"debugging, machine learning, design, project management, cloud computing",Graphic Designer,"design, creativity, communication",0
"design, machine learning, leadership, data analysis",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"design, writing, problem solving",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"design, java, cloud computing, problem solving, writing",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"writing, problem solving, debugging",Graphic Designer,"design, creativity, communication",0
"design, machine learning, leadership, data analysis",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"teaching, data analysis, sql, design, problem solving, java",Project Manager,"leadership, project management, communication, teamwork",0
"debugging, communication, machine learning, testing",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"javascript, design, leadership, communication",Project Manager,"leadership, project management, communication, teamwork",0
"testing, communication, leadership, creativity",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"data analysis, testing, creativity, design",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"sql, cloud computing, creativity, python",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"leadership, teaching, debugging, machine learning, cloud computing, problem solving, communication",Project Manager,"leadership, project management, communication, teamwork",0
"communication, writing, testing, data analysis, machine learning, teamwork",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"testing, data analysis, cloud computing, debugging, sql",Project Manager,"leadership, project management, communication, teamwork",0
"problem solving, leadership, sql, writing, design, testing, java",Graphic Designer,"design, creativity, communication",0
"machine learning, communication, teamwork",Graphic Designer,"design, creativity, communication",0
"teaching, problem solving, sql, machine learning",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"python, machine learning, communication, testing, writing, leadership, data analysis",Data Scientist,"python, machine learning, data analysis, sql, problem solving",1
"leadership, java, debugging, data analysis, teamwork",Project Manager,"leadership, project management, communication, teamwork",0
"teamwork, testing, cloud computing, python, debugging, creativity, project management",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"communication, testing, sql",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"testing, debugging, machine learning, design, java, writing, problem solving",Graphic Designer,"design, creativity, communication",0
"data analysis, teaching, design",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"cloud computing, leadership, python, debugging, problem solving",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"cloud computing, creativity, leadership, java",Graphic Designer,"design, creativity, communication",0
"problem solving, debugging, communication",Project Manager,"leadership, project management, communication, teamwork",0
"data analysis, python, debugging, javascript, sql, machine learning, creativity",Project Manager,"leadership, project management, communication, teamwork",0
"project management, design, writing",Graphic Designer,"design, creativity, communication",0
"creativity, teamwork, javascript, leadership, sql, teaching, data analysis",Graphic Designer,"design, creativity, communication",0
"testing, sql, teamwork, cloud computing",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"problem solving, project management, java, machine learning",Project Manager,"leadership, project management, communication, teamwork",0
"project management, communication, teamwork",Graphic Designer,"design, creativity, communication",0
"writing, project management, python, sql",Project Manager,"leadership, project management, communication, teamwork",0
"cloud computing, leadership, communication, javascript",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"writing, project management, data analysis, teamwork, java, leadership, testing",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"writing, debugging, problem solving, python, teaching, machine learning",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"debugging, data analysis, teamwork, java",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"communication, design, creativity, python, data analysis, java, debugging",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"design, problem solving, leadership, teamwork, teaching",Teacher,"communication, teaching, leadership, creativity, problem solving",1
"problem solving, javascript, communication, debugging, sql",Project Manager,"leadership, project management, communication, teamwork",0
"leadership, cloud computing, teaching, python, machine learning, design",Graphic Designer,"design, creativity, communication",0
"creativity, python, teaching",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"java, python, writing, creativity, teaching, leadership",Graphic Designer,"design, creativity, communication",0
"machine learning, python, project management, data analysis",Project Manager,"leadership, project management, communication, teamwork",0
"communication, teaching, testing, creativity, leadership, sql, cloud computing",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"testing, problem solving, writing",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"testing, project management, sql",Project Manager,"leadership, project management, communication, teamwork",0
"project management, sql, design, problem solving",Project Manager,"leadership, project management, communication, teamwork",0
"debugging, teamwork, javascript",Graphic Designer,"design, creativity, communication",0
"data analysis, machine learning, sql",Graphic Designer,"design, creativity, communication",0
"cloud computing, java, debugging, teamwork",Graphic Designer,"design, creativity, communication",0
"data analysis, sql, javascript, testing, machine learning",Project Manager,"leadership, project management, communication, teamwork",0
"data analysis, communication, javascript",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"sql, debugging, python",Graphic Designer,"design, creativity, communication",0
"data analysis, problem solving, javascript, project management",Graphic Designer,"design, creativity, communication",0
"project management, communication, teamwork, design",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"design, creativity, machine learning, leadership",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"debugging, design, cloud computing, testing",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"teaching, javascript, testing, teamwork, problem solving, debugging",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"creativity, communication, debugging, problem solving, leadership, machine learning, design",Teacher,"communication, teaching, leadership, creativity, problem solving",1
